employee_id,department,remote_working,hours_worked_per_day
E0001,HR,No,10.1
E0002,HR,No,8.5
E0003,IT,Yes,9.2
E0004,Marketing,No,10.7
E0005,Marketing,Yes,10.2
E0006,Marketing,Yes,6.8
E0007,Marketing,No,9.1
E0008,Marketing,Yes,7.8
E0009,HR,No,7.9
E0010,IT,Yes,8.5
E0011,Marketing,No,8.2
E0012,IT,Yes,9.7
E0013,IT,No,8.9
E0014,Marketing,No,8.1
E0015,HR,No,8.5
E0016,Marketing,Yes,8.4
E0017,IT,Yes,9.8
E0018,HR,Yes,7.8
E0019,HR,Yes,8.4
E0020,Marketing,Yes,7.0
E0021,IT,Yes,4.9
E0022,Marketing,No,8.8
E0023,Sales,No,9.0
E0024,Marketing,Yes,7.1
E0025,HR,No,10.7
E0026,Marketing,No,6.3
E0027,Sales,No,8.1
E0028,Sales,Yes,7.8
E0029,Marketing,No,9.8
E0030,Marketing,No,9.8
E0031,Sales,Yes,8.2
E0032,IT,No,8.5
E0033,Sales,No,6.9
E0034,Marketing,No,5.6
E0035,Sales,Yes,7.6
E0036,HR,No,8.2
E0037,HR,Yes,9.5
E0038,Sales,No,9.4
E0039,Marketing,Yes,7.5
E0040,Sales,Yes,7.6
E0041,IT,Yes,6.7
E0042,Sales,Yes,6.3
E0043,Sales,Yes,6.0
E0044,Sales,No,10.3
E0045,Sales,Yes,7.4
E0046,IT,No,7.5
E0047,HR,Yes,6.5
E0048,Marketing,Yes,8.9
E0049,Marketing,Yes,6.1
E0050,HR,Yes,7.7
E0051,Marketing,No,6.9
E0052,HR,Yes,8.5
E0053,Marketing,No,7.4
E0054,HR,No,6.6
E0055,Marketing,Yes,8.0
E0056,Marketing,No,8.5
E0057,Marketing,Yes,8.1
E0058,HR,No,8.4
E0059,IT,Yes,7.2
E0060,Sales,No,7.6
E0061,Sales,No,7.2
E0062,Marketing,Yes,7.6
E0063,HR,Yes,7.0
E0064,HR,No,5.9
E0065,Marketing,Yes,8.2
E0066,Sales,Yes,7.5
E0067,Sales,No,6.0
E0068,Sales,No,8.6
E0069,IT,No,6.9
E0070,Marketing,Yes,8.1
E0071,Marketing,No,8.9
E0072,Marketing,No,8.2
E0073,IT,Yes,9.4
E0074,Sales,Yes,6.5
E0075,HR,Yes,8.5
E0076,HR,Yes,7.2
E0077,HR,Yes,7.0
E0078,Marketing,No,7.3
E0079,Sales,Yes,7.6
E0080,Marketing,No,8.1
E0081,Sales,Yes,6.6
E0082,IT,Yes,9.1
E0083,Marketing,Yes,8.6
E0084,Marketing,No,6.2
E0085,Sales,No,9.8
E0086,Marketing,No,10.3
E0087,HR,Yes,9.4
E0088,IT,No,7.8
E0089,Sales,No,6.7
E0090,HR,Yes,9.3
E0091,Marketing,Yes,7.5
E0092,Sales,No,9.5
E0093,HR,Yes,8.2
E0094,Sales,Yes,9.2
E0095,HR,Yes,8.4
E0096,HR,No,8.8
E0097,HR,Yes,8.0
E0098,Marketing,No,10.1
E0099,Sales,No,8.2
E0100,Sales,Yes,8.5
E0101,Sales,Yes,10.3
E0102,HR,Yes,6.4
E0103,IT,No,6.5
E0104,IT,No,9.2
E0105,IT,Yes,6.6
E0106,Marketing,Yes,10.3
E0107,HR,Yes,7.5
E0108,Sales,No,7.1
E0109,Marketing,No,10.3
E0110,Marketing,No,9.8
E0111,IT,Yes,10.2
E0112,IT,No,9.1
E0113,Sales,Yes,7.0
E0114,Marketing,Yes,10.3
E0115,Marketing,Yes,7.7
E0116,HR,No,9.0
E0117,HR,Yes,9.1
E0118,Sales,Yes,7.8
E0119,IT,No,8.7
