date,day_of_week,sales_amount (usd)
01-01-2020,Wednesday,1212
02-01-2020,Thursday,1261
03-01-2020,Friday,596
04-01-2020,Saturday,696
05-01-2020,Sunday,1434
06-01-2020,Monday,1321
07-01-2020,Tuesday,1002
08-01-2020,Wednesday,1060
09-01-2020,Thursday,885
10-01-2020,Friday,583
11-01-2020,Saturday,998
12-01-2020,Sunday,1705
13-01-2020,Monday,1313
14-01-2020,Tuesday,520
15-01-2020,Wednesday,1263
16-01-2020,Thursday,1011
17-01-2020,Friday,916
18-01-2020,Saturday,1610
19-01-2020,Sunday,1374
20-01-2020,Monday,979
21-01-2020,Tuesday,899
22-01-2020,Wednesday,937
23-01-2020,Thursday,859
24-01-2020,Friday,1063
25-01-2020,Saturday,876
26-01-2020,Sunday,1230
27-01-2020,Monday,1230
28-01-2020,Tuesday,1314
29-01-2020,Wednesday,649
30-01-2020,Thursday,956
31-01-2020,Friday,1004
01-02-2020,Saturday,1442
02-02-2020,Sunday,1258
03-02-2020,Monday,1171
04-02-2020,Tuesday,1102
05-02-2020,Wednesday,1140
06-02-2020,Thursday,924
07-02-2020,Friday,472
08-02-2020,Saturday,779
09-02-2020,Sunday,1219
10-02-2020,Monday,1018
11-02-2020,Tuesday,355
12-02-2020,Wednesday,917
13-02-2020,Thursday,1210
14-02-2020,Friday,920
15-02-2020,Saturday,881
16-02-2020,Sunday,930
17-02-2020,Monday,1170
18-02-2020,Tuesday,1005
19-02-2020,Wednesday,1095
20-02-2020,Thursday,824
21-02-2020,Friday,698
22-02-2020,Saturday,1867
23-02-2020,Sunday,922
24-02-2020,Monday,383
25-02-2020,Tuesday,1267
26-02-2020,Wednesday,1091
27-02-2020,Thursday,611
28-02-2020,Friday,1155
29-02-2020,Saturday,1176
01-03-2020,Sunday,1058
02-03-2020,Monday,1403
03-03-2020,Tuesday,797
04-03-2020,Wednesday,1070
05-03-2020,Thursday,899
06-03-2020,Friday,1434
07-03-2020,Saturday,1378
08-03-2020,Sunday,1679
09-03-2020,Monday,1413
10-03-2020,Tuesday,926
11-03-2020,Wednesday,841
12-03-2020,Thursday,993
13-03-2020,Friday,1261
14-03-2020,Saturday,1434
15-03-2020,Sunday,1071
16-03-2020,Monday,1075
17-03-2020,Tuesday,1423
18-03-2020,Wednesday,585
19-03-2020,Thursday,495
20-03-2020,Friday,1225
21-03-2020,Saturday,960
22-03-2020,Sunday,942
23-03-2020,Monday,907
24-03-2020,Tuesday,591
25-03-2020,Wednesday,993
26-03-2020,Thursday,630
27-03-2020,Friday,432
28-03-2020,Saturday,683
29-03-2020,Sunday,1653
30-03-2020,Monday,1235
31-03-2020,Tuesday,816
01-04-2020,Wednesday,1222
02-04-2020,Thursday,1224
03-04-2020,Friday,639
04-04-2020,Saturday,1104
05-04-2020,Sunday,1141
06-04-2020,Monday,1210
07-04-2020,Tuesday,877
08-04-2020,Wednesday,956
09-04-2020,Thursday,902
10-04-2020,Friday,744
11-04-2020,Saturday,992
12-04-2020,Sunday,1492
13-04-2020,Monday,652
14-04-2020,Tuesday,369
15-04-2020,Wednesday,1523
16-04-2020,Thursday,892
17-04-2020,Friday,1599
18-04-2020,Saturday,1168
19-04-2020,Sunday,1192
20-04-2020,Monday,1281
21-04-2020,Tuesday,678
22-04-2020,Wednesday,1477
23-04-2020,Thursday,446
24-04-2020,Friday,1313
25-04-2020,Saturday,995
26-04-2020,Sunday,921
27-04-2020,Monday,180
28-04-2020,Tuesday,660
29-04-2020,Wednesday,283
30-04-2020,Thursday,945
01-05-2020,Friday,893
02-05-2020,Saturday,1448
03-05-2020,Sunday,1409
04-05-2020,Monday,374
05-05-2020,Tuesday,745
06-05-2020,Wednesday,754
07-05-2020,Thursday,643
08-05-2020,Friday,1232
09-05-2020,Saturday,1084
10-05-2020,Sunday,942
11-05-2020,Monday,1349
12-05-2020,Tuesday,1509
13-05-2020,Wednesday,774
14-05-2020,Thursday,366
15-05-2020,Friday,1400
16-05-2020,Saturday,1183
17-05-2020,Sunday,1265
18-05-2020,Monday,950
19-05-2020,Tuesday,1616
20-05-2020,Wednesday,1007
21-05-2020,Thursday,1195
22-05-2020,Friday,1488
23-05-2020,Saturday,835
24-05-2020,Sunday,1864
25-05-2020,Monday,1211
26-05-2020,Tuesday,1250
27-05-2020,Wednesday,842
28-05-2020,Thursday,1514
29-05-2020,Friday,1350
30-05-2020,Saturday,809
31-05-2020,Sunday,1231
01-06-2020,Monday,1163
02-06-2020,Tuesday,1010
03-06-2020,Wednesday,493
04-06-2020,Thursday,877
05-06-2020,Friday,1187
06-06-2020,Saturday,913
07-06-2020,Sunday,189
08-06-2020,Monday,920
09-06-2020,Tuesday,1246
10-06-2020,Wednesday,853
11-06-2020,Thursday,784
12-06-2020,Friday,1154
13-06-2020,Saturday,1411
14-06-2020,Sunday,1223
15-06-2020,Monday,1507
16-06-2020,Tuesday,1194
17-06-2020,Wednesday,1030
18-06-2020,Thursday,1210
19-06-2020,Friday,908
20-06-2020,Saturday,1567
21-06-2020,Sunday,1479
22-06-2020,Monday,1295
23-06-2020,Tuesday,893
24-06-2020,Wednesday,492
25-06-2020,Thursday,1209
26-06-2020,Friday,830
27-06-2020,Saturday,1446
28-06-2020,Sunday,1206
29-06-2020,Monday,1031
30-06-2020,Tuesday,1265
01-07-2020,Wednesday,1031
02-07-2020,Thursday,1362
03-07-2020,Friday,846
04-07-2020,Saturday,1145
05-07-2020,Sunday,1204
06-07-2020,Monday,1151
07-07-2020,Tuesday,613
08-07-2020,Wednesday,1097
09-07-2020,Thursday,171
10-07-2020,Friday,919
11-07-2020,Saturday,1351
12-07-2020,Sunday,1158
13-07-2020,Monday,1415
14-07-2020,Tuesday,853
15-07-2020,Wednesday,1143
16-07-2020,Thursday,909
17-07-2020,Friday,575
18-07-2020,Saturday,1227
19-07-2020,Sunday,356
20-07-2020,Monday,1217
21-07-2020,Tuesday,658
22-07-2020,Wednesday,1248
23-07-2020,Thursday,577
24-07-2020,Friday,552
25-07-2020,Saturday,1463
26-07-2020,Sunday,1357
27-07-2020,Monday,977
28-07-2020,Tuesday,1190
29-07-2020,Wednesday,1168
30-07-2020,Thursday,557
31-07-2020,Friday,937
01-08-2020,Saturday,1138
02-08-2020,Sunday,828
03-08-2020,Monday,518
04-08-2020,Tuesday,605
05-08-2020,Wednesday,732
06-08-2020,Thursday,1262
07-08-2020,Friday,749
08-08-2020,Saturday,1588
09-08-2020,Sunday,709
10-08-2020,Monday,1202
11-08-2020,Tuesday,1100
12-08-2020,Wednesday,792
13-08-2020,Thursday,845
14-08-2020,Friday,984
15-08-2020,Saturday,179
16-08-2020,Sunday,1143
17-08-2020,Monday,1266
18-08-2020,Tuesday,976
19-08-2020,Wednesday,1244
20-08-2020,Thursday,643
21-08-2020,Friday,505
22-08-2020,Saturday,517
23-08-2020,Sunday,1285
24-08-2020,Monday,1065
